date,Default,Late,In Grace Period
2016-08-05,0.0,0.0,0.0
2016-08-06,0.0,0.0,0.0
2016-08-07,0.0,0.0,0.0
2016-08-08,0.0,0.0,0.0
2016-08-09,0.0,0.0,0.0
2016-08-10,0.0,0.0,0.0
2016-08-11,0.0,0.0,0.0
2016-08-12,0.0,0.0,0.0
2016-08-13,0.0,0.0,0.0
2016-08-14,0.0,0.0,0.0
2016-08-15,0.0,0.0,0.0
2016-08-16,0.0,0.0,0.0
2016-08-17,0.0,0.0,0.0
2016-08-18,0.0,0.0,0.0
2016-08-19,0.0,0.0,0.0
2016-08-20,0.0,0.0,0.0
2016-08-21,0.0,0.0,0.0
2016-08-22,0.0,0.0,0.0
2016-08-23,0.0,0.0,0.0
2016-08-24,0.0,0.0,0.0
2016-08-25,0.0,0.0,0.0
2016-08-26,0.0,0.0,0.0
2016-08-27,0.0,0.0,0.0
2016-08-28,0.0,0.0,0.0
2016-08-29,0.0,0.0,0.0
2016-08-30,0.0,0.0,0.0
2016-08-31,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0
2016-09-02,0.0,0.0,0.0
2016-09-03,0.0,0.0,0.0
2016-09-04,0.0,0.0,0.0
2016-09-05,0.0,0.0,0.0
2016-09-06,0.0,0.0,0.0
2016-09-07,0.0,0.0,0.0
2016-09-08,0.0,0.0,0.0
2016-09-09,0.0,0.0,0.0
2016-09-10,0.0,0.0,0.0
2016-09-11,0.0,0.0,0.0
2016-09-12,0.0,0.0,0.0
2016-09-13,0.0,0.0,0.0
2016-09-14,0.0,0.0,0.0
2016-09-15,0.0,0.0,0.0
2016-09-16,0.0,0.0,0.0
2016-09-17,0.0,0.0,0.0
2016-09-18,0.0,0.0,0.0
2016-09-19,0.0,0.0,0.0
2016-09-20,0.0,0.0,0.0
2016-09-21,0.0,0.0,0.0
2016-09-22,0.0,0.0,0.0
2016-09-23,0.0,0.0,0.0
2016-09-24,0.0,0.0,0.0
2016-09-25,0.0,0.0,0.0
2016-09-26,0.0,0.0,0.0
2016-09-27,0.0,0.0,0.0
2016-09-28,0.0,0.0,0.0
2016-09-29,0.0,0.0,0.0
2016-09-30,0.0,0.0,0.0
